name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
MyBicyclette,Mo-Fr 10:00-19:00; Sa-Su 09:00-19:00,,,bicycle,,,,,,POINT (-73.57466839999999 45.477938)
Paul Patates Frites,Mo-Sa 11:00-19:30,fast_food,,,,,,,,POINT (-73.5639189 45.475311)
Point Couture,Mo-Fr 10:00-19:00; Sa 10:00-17:00,,,second_hand,,,,,,POINT (-73.5685087 45.477838)
Vanity 2000,"Tu,We 10:00-18:00; Th 10:00-19:00; Fr 10:00-21:00; Sa 10:00-20:00; Su ""Sur rdv""",,,hairdresser,,,,,,POINT (-73.5649805 45.4761747)
Rona C Bélanger,"Mo-We 08:30-18:00, Th,Fr 08:30-21:00, Sa 09:00-17:00, Su 10:00-17:00",,,doityourself,,,,,,POINT (-73.57457290000001 45.5482587)
Bijouterie La Puce,"Mo-We 10:00-18:00, Th,Fr 10:00-21:00, Sa 10:00-17:00, Su 11:00-17:00",,,jewelry,,,,,,POINT (-73.5745139 45.5483827)
Connie's Pizza,Mo-We 11:00-22:15; Th-Sa 11:00-23:15; Su 15:00-21:15,fast_food,,,,,,,,POINT (-73.5639628 45.4755991)
Thaï Express,"Mo-Th, Su 11:00-23:00; Fr, Sa 11:00-00:00",fast_food,,,,,,,,POINT (-73.56233880000001 45.5147125)
Multimags,"Mo-Sa 08:00-21:00, Su 09:00-20:00",,,books,,,,,,POINT (-73.58106789999999 45.5262668)
L'Échange,Mo-Fr 10:00-22:00,,,books,,,,,,POINT (-73.58176330000001 45.5254976)
Renaud-Bray,Mo-Su 09:00-22:00,,,books,,,,,,POINT (-73.58108590000001 45.5229459)
The Word Bookstore,"Mo-We, Sa 10:00-18:00; Th-Fr 10:00-21:00",,,books,,,,,,POINT (-73.5750501 45.5079872)
La Fonderie Montreal,24/7,restaurant,,,,,,,,POINT (-73.5748062 45.5253055)
Yeh Yogurt and cafe,Mo-Fr 10:00-21:00;Sa 10:00-18:00;Su 11:00-17:00,cafe,,,,,,,,POINT (-73.5718392 45.5028438)
Vices & Versa,Mo-Su 11:30-03:00,pub,,,,,,,,POINT (-73.6105565 45.5313365)
Réseau Koumbit,Mo-Fr 10:00-17:00,,,,,,,,,POINT (-73.5623574 45.5200116)
Pho' Tây Hô,We-Mo 10:00-21:00,restaurant,,,,,,,,POINT (-73.6046218 45.5337157)
Bagel Sainte-Rose,Mo-Su 10:00-15:00,,,bakery,,,,,,POINT (-73.785467 45.6146316)
La P'tite Grenouille,"Mo-Sa 17:00-03:00,Su 17:00-00:00",bar,,,,,All,,,POINT (-73.5699941 45.5128798)
New Madina Super Market,Mo-Su 09:30-21:30,,,convenience,,,,,,POINT (-73.5667746 45.5116702)
Café l'Artère,Mo 08:00-16:00; Tu-We 08:00-22:00; Th 08:00-23:00; Fr 08:00-00:00; Sa 10:00-00:00; Su 10:00-17:00,cafe,,,,,,,,POINT (-73.6201038 45.5295471)
Super C,Mo-Su 08:00-23:00,,,supermarket,,,,,,POINT (-73.5758134 45.4802264)
Lozeau,Th-Fr 9:00-21:00; Sa 9:00-17:00; Su 10:00-17:00; Mo-We 9:00-18:00,,,photo,,,,,,POINT (-73.6001421 45.5349142)
A&W,24/7,fast_food,,,,,,,,POINT (-73.5829126 45.5241362)
Mercedes-Benz Rive-Sud,Mo-Fr 09:00-21:00,,,car,,,,,,POINT (-73.46594109999999 45.4839958)
Le Comptoir Charcuteries et Vins,"Mo-Su 18:00-00:00, Sa-Su 10:00-14:00",restaurant,,,,,,,,POINT (-73.58946539999999 45.52165)
Segal's Market,Mo-Fr 10:00-20:00; Sa 09:00-19:00,,,supermarket,,,,,,POINT (-73.5788957 45.516865)
Prato Cafe Pizza,"Mo-We 11:30-22:00; Th, Fr 11:30-23:00; Sa 14:30-23:00",restaurant,,,,,,,,POINT (-73.57749149999999 45.5162542)
Le Vieux St-Laurent,"Mo-Sa 6:30- 16:00, Su 7:30- 16:00",restaurant,,,,,,,,POINT (-73.5787869 45.5168163)
Stella Estrela,Tu-Sa 12:00-20:00,,,bakery,,,,,,POINT (-73.57891530000001 45.5172908)
Schreter's,Mo-We 09:30-18:00; Th-Fr 09:30-21:00; Sa 09:30-17:00; Su 12:00-17:00,,,clothes,,,,,,POINT (-73.5844207 45.5190896)
Omnivore,Mo-Su 11:00-22:00,restaurant,,,,,,,,POINT (-73.5836323 45.5187436)
National Bank,"Mo-We 10:00- 15:00, Th 10:00, Fr 10:00-15:00",bank,,,,,,,,POINT (-73.57713889999999 45.5157426)
Ripples,Mo-Su 12:00-00:00,,,confectionery,,,,,,POINT (-73.5778329 45.516132)
Bibliothèque Saint-Charles,"Mo-Fr 09:00-18:00; Tu,We 13:00-20:00; Sa 10:00-17:00; Su 12:00-17:00",library,,,,,,,,POINT (-73.5637157 45.4791442)
