precipitation,temperature,dt
0.0,16.232729023599063,2017-10-04 01:00:00
0.0,15.678662274785438,2017-10-04 02:00:00
0.0,15.22312376478618,2017-10-04 03:00:00
0.0,14.74491139229832,2017-10-04 04:00:00
0.0,14.228771831647578,2017-10-04 05:00:00
0.0,13.858981747059943,2017-10-04 06:00:00
0.0,13.373761089802827,2017-10-04 07:00:00
0.0,13.199790726708045,2017-10-04 08:00:00
0.0,13.093017446988767,2017-10-04 09:00:00
0.0,13.368401813214575,2017-10-04 10:00:00
0.0,13.45621149885244,2017-10-04 11:00:00
9.972328074321635e-07,14.136427373511935,2017-10-04 12:00:00
1.4958492111465105e-06,15.468413731708893,2017-10-04 13:00:00
1.4958492111465105e-06,17.447635800945477,2017-10-04 14:00:00
1.4958492111465105e-06,19.44169894381099,2017-10-04 15:00:00
1.4958492111465105e-06,21.171920777717673,2017-10-04 16:00:00
4.4875476334395314e-06,22.68529803582379,2017-10-04 17:00:00
4.4875476334395314e-06,24.048615549459555,2017-10-04 18:00:00
4.4875476334395314e-06,25.068114857358353,2017-10-04 19:00:00
4.4875476334395314e-06,25.105217541430704,2017-10-04 20:00:00
0.000128144415754948,23.939781009514036,2017-10-04 21:00:00
0.00043678796965499617,22.41115042573375,2017-10-04 22:00:00
0.0011772333291728831,21.141414126369284,2017-10-04 23:00:00
0.0018713073631452075,20.425332323773205,2017-10-05 00:00:00
0.0007509163039959178,19.810252272262858,2017-10-05 01:00:00
0.0025703675611546874,19.061602558092147,2017-10-05 02:00:00
0.004439181842281316,18.284095200754052,2017-10-05 03:00:00
0.005039017375951364,18.25276404531519,2017-10-05 04:00:00
0.005165167326091449,17.51400838023045,2017-10-05 05:00:00
0.005260403059201156,16.560057147526095,2017-10-05 06:00:00
0.005503727864214443,15.490263090107021,2017-10-05 07:00:00
0.00559547328249814,14.755217693429529,2017-10-05 08:00:00
0.00561890825347278,14.215579766199596,2017-10-05 09:00:00
0.005669767126651787,13.87959434932236,2017-10-05 10:00:00
0.005745058203612865,13.715105783268314,2017-10-05 11:00:00
0.005840293936722573,13.93772188770231,2017-10-05 12:00:00
0.0060202944584639585,14.34543916045277,2017-10-05 13:00:00
0.006226223033198563,14.676477552787105,2017-10-05 14:00:00
0.006376805187120719,15.42677627513882,2017-10-05 15:00:00
0.006415697266610548,16.679197988602823,2017-10-05 16:00:00
0.006415697266610548,17.71683638649256,2017-10-05 17:00:00
0.006415697266610548,18.607713056273894,2017-10-05 18:00:00
0.006415697266610548,18.914428577938565,2017-10-05 19:00:00
0.006415697266610548,19.087574436942816,2017-10-05 20:00:00
0.006415697266610548,18.47785366202072,2017-10-05 21:00:00
0.006415697266610548,17.157822613135977,2017-10-05 22:00:00
0.006415697266610548,16.104518637526837,2017-10-05 23:00:00
0.006415697266610548,15.395445119699957,2017-10-06 00:00:00
0.0,14.899505909266395,2017-10-06 01:00:00
0.0,14.826125045212166,2017-10-06 02:00:00
0.0,14.461694237212782,2017-10-06 03:00:00
0.0,14.20486121302315,2017-10-06 04:00:00
0.0,13.712220018951541,2017-10-06 05:00:00
0.0,13.278118615305232,2017-10-06 06:00:00
0.0,12.920696092075048,2017-10-06 07:00:00
0.0,12.806502275541277,2017-10-06 08:00:00
0.0,12.502672518193378,2017-10-06 09:00:00
0.0,12.330763415324839,2017-10-06 10:00:00
0.0,12.302730276247985,2017-10-06 11:00:00
8.975095266882532e-06,12.695606475369516,2017-10-06 12:00:00
1.0470944478029043e-05,13.316870307558531,2017-10-06 13:00:00
1.0470944478029043e-05,13.830536355937795,2017-10-06 14:00:00
1.0470944478029043e-05,14.7065719520902,2017-10-06 15:00:00
1.1468177285461206e-05,15.008340449211914,2017-10-06 16:00:00
1.1468177285461206e-05,15.59786087391683,2017-10-06 17:00:00
1.1468177285461206e-05,16.406699386693788,2017-10-06 18:00:00
1.246541009289337e-05,16.87089518964325,2017-10-06 19:00:00
1.246541009289337e-05,17.057233114095425,2017-10-06 20:00:00
1.246541009289337e-05,16.754227860838,2017-10-06 21:00:00
1.246541009289337e-05,16.142445825689663,2017-10-06 22:00:00
1.246541009289337e-05,15.220238000469465,2017-10-06 23:00:00
1.246541009289337e-05,14.752744181157993,2017-10-07 00:00:00
0.0,14.265462263674635,2017-10-07 01:00:00
0.0,13.927003334525864,2017-10-07 02:00:00
0.0,13.844965177521487,2017-10-07 03:00:00
2.493082018578674e-06,13.816107534354103,2017-10-07 04:00:00
2.991698422293021e-06,13.702738221910863,2017-10-07 05:00:00
2.991698422293021e-06,13.616165292408766,2017-10-07 06:00:00
2.991698422293021e-06,12.717043581722407,2017-10-07 07:00:00
2.991698422293021e-06,12.553791771804129,2017-10-07 08:00:00
2.991698422293021e-06,12.686949182419312,2017-10-07 09:00:00
2.991698422293021e-06,12.770224095559456,2017-10-07 10:00:00
5.484780440871695e-06,13.008093525667675,2017-10-07 11:00:00
5.484780440871695e-06,14.046968679693123,2017-10-07 12:00:00
5.484780440871695e-06,15.475834268523329,2017-10-07 13:00:00
5.983396844589511e-06,17.011885389118106,2017-10-07 14:00:00
5.983396844589511e-06,18.425497652274203,2017-10-07 15:00:00
0.00022338014886465543,19.794174442498218,2017-10-07 16:00:00
0.0005310264699572714,19.963197781049985,2017-10-07 17:00:00
0.0012330783663890479,18.38056217934212,2017-10-07 18:00:00
0.0018678170483191966,17.02136718615884,2017-10-07 19:00:00
0.0018792852256046596,17.609650854727988,2017-10-07 20:00:00
0.001903218812983016,18.761483069151495,2017-10-07 21:00:00
0.0019111966754424663,18.858774551830038,2017-10-07 22:00:00
0.0019111966754424663,18.95812729473488,2017-10-07 23:00:00
0.0019111966754424663,19.213311310743507,2017-10-08 00:00:00
0.0,19.343582957041917,2017-10-08 01:00:00
0.0,19.344819713177685,2017-10-08 02:00:00
0.0,19.273500109349698,2017-10-08 03:00:00
0.0,19.240932197775123,2017-10-08 04:00:00
0.0,19.040577703784493,2017-10-08 05:00:00
0.0,18.896701739992864,2017-10-08 06:00:00
0.0,18.617194853314572,2017-10-08 07:00:00
4.98616403714347e-07,18.696759498047527,2017-10-08 08:00:00
